section,key,text,expected,predicted,tier1_conf,tier_used,top_similarity,escalated,would_call_gemini,correct
classification,23,"I went to attach a video clip to an email just now and a little pop-up told me my cloud account has zero gigabytes left. I delete stuff all the time, so I'm not sure why it's saying everything is maxed out.",Storage,Storage,0.314256,2,,,,True
classification,24,"Every time I try to move these big project folders over to my work share, it stops halfway and tells me there isn't enough room to fit them all. I really need to get these backed up somewhere today before my local copy acts up.",Storage,Storage,0.242966,2,,,,True
classification,25,"My laptop started running super slow this morning, and when I checked the settings, it looks like my main hard drive is completely jammed up with old files. I need someone to help me figure out what's taking up all the gigabytes so I can clean it out.",Storage,Storage,0.472985,2,,,,True
classification,26,"I went to save my final report this afternoon and a warning popped up saying I don't have permission to put anything else in the department shared folder. Is our team quota completely full, or did something happen to my access?",Storage,Storage,0.456246,2,,,,True
classification,27,"Someone just came up to my desk and told me they saw me leave my laptop unlocked while I went to the restroom, and now I am panicking that someone looked through my files. Can security check if anyone touched my computer while I was gone?",Security,Security,0.238575,2,,,,True
classification,28,"I noticed someone tried to log into my work account from another state overnight because I got a text with a code I didn't ask for, and now I'm really worried my password got stolen. Can we lock my account down right away?",Security,Access Management,0.268407,2,,,,False
classification,29,"I found a strange USB flash drive plugged into the side of my desktop when I came back from lunch, and I have no idea who put it there or what's on it. Could someone from IT please come check it out before I touch anything?",Security,Security,0.230163,2,,,,True
classification,30,"I keep getting these constant pop-ups on my screen telling me my files are locked and I have to pay money to get them back. I am really scared to touch anything, can someone please help me before my whole computer is ruined?",Security,Security,0.276305,2,,,,True
classification,31,"I just joined the marketing team today and when I try to open our main planning app, it won't let me past the login screen. Is there a special request I need to submit to get my account set up for it?",Access Management,Access Management,0.297553,2,,,,True
classification,32,"I need to log into the HR portal from home today to check my benefits, but it's locking me out and asking for a security code I never set up. Can someone help me unlock my profile?",Access Management,Access Management,0.304518,2,,,,True
classification,33,"I am trying to log into the time-tracking site for my shift today, but it keeps telling me my account has been disabled. Can someone turn it back on so I can submit my hours?",Access Management,Access Management,0.194718,2,,,,True
classification,34,"I am trying to log into the software we use for scheduling our weekly shifts, but it says my account doesn't exist anymore since I transferred departments. Could someone update my profile so I can see my schedule?",Access Management,Access Management,0.349432,2,,,,True
classification,35,I forgot my badge at home this morning and can't get through the turnstiles into the building. Could security or someone remotely unlock the side entrance for me so I can get to my desk?,Access Management,Security,0.266633,2,,,,False
classification,36,"I can't seem to access any internal websites or shared folders from my desk today, even though my Ethernet cable is plugged in securely. The little network icon on my taskbar has a yellow triangle over it.",Network,Network,0.39414,2,,,,True
classification,37,"My laptop refuses to connect to the office network altogether since I got into the office this morning, and it keeps saying it's out of range even though I'm sitting right by the router.",Network,Network,0.454951,2,,,,True
classification,38,"Whenever I try to open our company portal from home using the new VPN, it just spins forever and eventually says the connection failed. My home internet is working fine for everything else, so I'm not sure why it won't let me in today.",Network,Database,0.548144,1,,,,False
classification,39,"I can't print anything to the printer down the hall or open up the shared drive where we keep our team files. Everything else on my computer seems to work, but those two things keep telling me they are unavailable.",Network,Storage,0.450022,2,,,,False
classification,40,"My computer keeps dropping off the internet every time I step away from my desk for lunch, and the only way to get back online is to restart the whole machine. It's getting really annoying since I have to log back into everything all over again.",Network,Infrastructure,0.25467,2,,,,False
classification,41,"Every single time our system tries to handle a big rush of users, it just completely freezes up instead of automatically getting more power like it's supposed to.",Infrastructure,Infrastructure,0.175663,2,,,,True
classification,42,"Our main server won't boot back up at all after we had to restart it this morning, and now nobody can log into the system.",Infrastructure,Infrastructure,0.242209,2,,,,True
classification,43,"Half of our core customer portal has been completely unreachable for the last hour even though the main status page looks green, and nobody can get any work done.",Infrastructure,Application,0.299786,2,,,,False
classification,44,"All the clocks across our internal applications are completely out of whack compared to the actual time, which is messing up our timeline views and making it impossible to tell when anything actually happened.",Infrastructure,Infrastructure,0.209847,2,,,,True
escalation,adv_01,What's the weather like today?,True,,,,0.19167,True,False,True
escalation,adv_02,Can you recommend a good pizza place near the office?,True,,,,0.158402,True,False,True
escalation,adv_03,"I can't access anything today, nothing is working.",False,,,,0.435684,False,True,True
escalation,adv_04,"Things have been acting strange since this morning, not sure what's going on.",True,,,,0.320087,True,False,True
escalation,adv_05,Something is wrong. It's not working properly and I need this fixed today.,False,,,,0.394342,False,True,True
escalation,adv_06,Help,True,,,,0.224102,True,False,True
escalation,adv_07,Broken again.,True,,,,0.319967,True,False,True
escalation,adv_08,YO MY LAPTOP IS DEAD AF PLS SOMEONE FIX ASAP THX,True,,,,0.328848,True,False,True
escalation,adv_09,requesting immediate remediation of persistent authentication failure across all provisioned endpoints,False,,,,0.446667,False,True,True
