item_id,arm,ticket_id,groundedness_item_id,top_similarity,escalation_reason,human_label,human_hedge_appropriate,context_distinct_fixes_posthoc,gemini_verdict,gemini_reason,qwen_verdict,qwen_reason,arms_agree,draft_declines_posthoc,decline_phrases_posthoc,prompt_sha256
S011,eligible,N17,G003,0.671837329864502,none,grounded,True,3,INSUFFICIENT,"The retrieved tickets address NTP drift and stale data issues, but none address a grayed-out submit button preventing time-sheet submission in the time-tracking app.",INSUFFICIENT,"The retrieved tickets all address issues with stale data in the Field Service App and Payroll, but do not address the issue with the submit button being grayed out in the time-tracking app.",True,True,none of the retrieved,440c6dbec3825802910f4ef9443d20c0e7369812c071d187f74de98923980b2b
S012,eligible,N33,G031,0.7361786365509033,none,grounded,True,1,INSUFFICIENT,"The retrieved tickets address a session cookie misconfiguration causing login redirect loops, whereas the new ticket involves a locked profile and an unconfigured security code for remote access.",SUFFICIENT,All retrieved tickets address the same underlying problem of a misconfigured HR Self-Service session cookie domain.,False,False,,11ccf855e01ccae1758af22610885b6b570913d367e15184c782e717d00e2e77
S013,eligible,N40,G014,0.7361388206481934,none,grounded,True,2,INSUFFICIENT,None of the retrieved tickets address the printer unavailability issue mentioned in the new ticket.,INSUFFICIENT,"The retrieved tickets only address issues with file shares on \fs01 and \fs02, but the new ticket reports issues with \fs01	eam and \fs01	eamiles.",True,False,,a088b611020bc993f1a89d0e9ea386240739a8895131a56ff7ba1c7664faeb51
S014,escalated,A02,,0.5228346586227417,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved tickets are about Wi-Fi outages at the Hyderabad office, whereas the new ticket asks for a pizza place recommendation near the office.",SUFFICIENT,All retrieved tickets address the same underlying problem of a Wi-Fi outage at the Hyderabad Office.,False,False,,3ec5b054287eb0f33d0cc217c88785f7b1eb253f21cbc1fbb5b2563656f9a833
S015,escalated,N06,,0.6395179629325867,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved tickets address server-side storage quotas for specific data centers and backup restorations, whereas the new ticket is about an individual user running out of space in their personal folder.",INSUFFICIENT,"The retrieved tickets all address storage quota issues or snapshot/backup restore requests, but do not address the specific issue of running out of space in a folder.",True,False,,f6df8b9d522089fd0cefe3828fc4eb0203163cb5a0fef5196456cf6bfaf0afaa
S016,eligible,N04,G025,0.7591496706008911,none,grounded,True,2,INSUFFICIENT,"The retrieved tickets address slowness for specific applications like Payroll, Learning Management System, and Billing Portal, but the new ticket does not specify which application or service is experiencing the slowness.",INSUFFICIENT,"The retrieved tickets all address the Payroll application, but the new ticket reports slowness in the Learning Management System application.",True,False,,86cddfde414be2615059460faee91fda20b163a805d49f1c73bd599d99842930
S017,eligible,N29,G007,0.7032899856567383,none,grounded,True,2,INSUFFICIENT,"The retrieved tickets address user lockouts and bulk brute-force attacks, but lack instructions for proactively securing an account after a suspected credential compromise attempt reported by the user.",SUFFICIENT,"The retrieved tickets all address password resets and account lockouts, which are relevant to the new ticket's issue of a locked account.",False,False,,a5a44856c8b4abe932e17931cf2074f22bd57a9d776192f484894c2c50cd9b0c
S018,escalated,N43,,0.6624911427497864,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved tickets address specific servers failing to boot due to fstab mount issues after reboot, but the new ticket describes a main server boot failure without specifying the root cause or mentioning a failed fstab mount.",INSUFFICIENT,"The retrieved tickets all address issues with server unresponsiveness after reboot, but do not address login issues.",True,False,,54693eb60f37e3811bbc733d05af0bf0802179b5db9c91748ef436305cb402f5
S019,eligible,N05,G027,0.7308734059333801,none,grounded,True,1,INSUFFICIENT,"The retrieved tickets address server-side storage volume capacity issues affecting multiple services, whereas the new ticket describes a local client-side drive full error preventing an individual user from downloading a report.",SUFFICIENT,"All retrieved tickets address the same underlying problem of a storage volume nearly full, impacting daily work.",False,False,,01ac25686de278a2075b719a082185aad4860c4fb1fe302ecd4701ce80060f14
S020,escalated,A08,,0.6123800277709961,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved context only contains tickets about restoring accidentally deleted network folders, whereas the new ticket reports a completely dead laptop.",INSUFFICIENT,"The new ticket is about a laptop issue, while the retrieved tickets are all about server snapshots and backups.",True,False,,99cbcebe8e283f0551db1ad3fad6d3adcd737d344a9802a0cd22b6482f686d51
S021,eligible,N16,G009,0.7240623235702515,none,grounded,True,3,INSUFFICIENT,"The retrieved tickets deal with report generation timeouts due to database missing indexes and stale cache data, whereas the new ticket describes a session expiration error when uploading presentation slides to the company video tool.",INSUFFICIENT,"The retrieved tickets all relate to database issues, while the new ticket is about a timeout error in an application (company video tool).",True,True,do not match; not match,e26cf0fca57d3892cfdc3950587f6e862b2655f8a3dd9627a9e269b8a701057d
S022,escalated,N14,,0.6108201742172241,low_retrieval_similarity,,,,INSUFFICIENT,None of the retrieved tickets address a server overheating and shutting off in the server room causing a total outage of internal tools.,INSUFFICIENT,"The retrieved tickets do not address the issue of a server overheating and shutting off, which is the core problem reported in the new ticket.",True,False,,130e73f047db96497ecce4c3b9fc8c86f7f613aeafb7901440bd6cdcd56fb5d3
S023,eligible,N32,G012,0.689045786857605,none,grounded,True,3,INSUFFICIENT,"The retrieved tickets address app-wide login loop errors caused by cookie misconfigurations, whereas the new ticket is a new user needing account setup and permissions to access the application.",SUFFICIENT,All retrieved tickets address the same issue with the Field Service App login page redirecting back to itself.,False,False,,9f4f23371822f04032c0726eec14491afc1d18eec8e1aba6a4ba5cf200168e35
S024,escalated,N30,,0.6552321314811707,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved tickets only address restoring deleted folders from network shares, whereas the new ticket concerns an unknown USB flash drive found plugged into a desktop.",INSUFFICIENT,"The retrieved tickets all deal with accidental deletions of folders on specific shared drives, but do not address the issue of a USB flash drive being plugged in.",True,False,,da7ac3b364b4f43bd69814cd14039c7d7b0dd677998e450791f961a6a49f372b
S025,eligible,N34,G015,0.7052785158157349,none,grounded,True,2,INSUFFICIENT,"The retrieved tickets address site-wide login redirect loops due to cookie misconfigurations, whereas the new ticket reports an individual user account being disabled.",SUFFICIENT,All retrieved tickets address the same underlying problem of login issues in the Expense Tracker application.,False,False,,2137808de571288668a4378f18cb35f4dcad87d114dc637ec1b485c251995285
S026,eligible,N01,G018,0.6753429174423218,none,grounded,True,1,SUFFICIENT,"The retrieved tickets provide the exact procedure for handling a locked-out user requesting a password reset, which applies directly to the new user's issue.",SUFFICIENT,"The retrieved tickets all address password reset requests for users, including s.khan, which matches the new ticket's issue.",True,False,,bdbed63608848ffe1ab9dc8e8f4ef5fadef1999ecc0b45ed08f6c64444f2a616
S027,eligible,N35,G017,0.7036538124084473,none,grounded,True,3,SUFFICIENT,The retrieved past tickets demonstrate how to update entitlements and assign the correct role for users who have transferred departments and retained obsolete permissions.,INSUFFICIENT,"The retrieved tickets all involve users with permissions from their previous roles in the Billing Portal, which is different from the new ticket's issue of account non-existence due to department transfer.",False,False,,bf7ddf436565b7f38389de4e1e819f7736c5a67db81cf4ec0043df903d551d13
S028,escalated,N44,,0.6527823209762573,low_retrieval_similarity,,,,INSUFFICIENT,None of the retrieved tickets address an unreachable core customer portal or provide a method to restore access to it.,INSUFFICIENT,"The new ticket is about the core customer portal being unreachable, while the retrieved tickets are about issues with specific applications (Billing Portal and Inventory Manager) or database connectivity problems.",True,False,,56b545f7190be2057e6f7a65dc51f1a82604af1647ce962310b4916ed7d32471
S029,eligible,N26,G021,0.7010266780853271,none,ungrounded,True,2,INSUFFICIENT,"The retrieved tickets address network storage performance issues caused by failing hardware disks, whereas the new ticket is about a local laptop hard drive running out of space due to old files.",SUFFICIENT,"The retrieved tickets all address slow read/write issues on specific folders, which is similar to the new ticket's problem of a jammed hard drive with old files.",False,False,,72819c7aefb6c53077bfbfb2847794f564bdcc61e0162e73b3ab2a8d1ec02466
S030,escalated,N13,,0.6554906368255615,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved tickets cover database connection issues and office Wi-Fi outages, but none address company-wide website outages or a down main server.",INSUFFICIENT,The retrieved tickets do not address the issue of websites not working due to a server being down.,True,False,,da42014afd090907c845b156dd81a4b92d865e26f98df61c9a5001fe8886c844
S031,escalated,A07,,0.5862715244293213,low_retrieval_similarity,,,,INSUFFICIENT,"The new ticket simply says 'Broken again' without providing any details about what is broken, making it impossible to determine if the retrieved tickets apply.",SUFFICIENT,One relevant retrieved ticket among five addresses the same underlying problem as the new ticket.,False,False,,5508c4df91bc81804cfb98fd3220c6f058fd5521dd281f0ceb85f7d401bc8dc3
S032,eligible,N37,G005,0.7308971881866455,none,grounded,True,1,INSUFFICIENT,"The retrieved tickets address server-side file share service crashes, whereas the new ticket describes a client-side network connectivity issue indicated by a yellow triangle on the taskbar.",INSUFFICIENT,"The retrieved tickets all address the \fs01ile share, but the new ticket reports an issue with \fs01olders and websites, which are different.",True,False,,35c7e7c8a1b2bd3201b9bcd3c283fce1f1b60deaf708c6de1b640db161d636f9
S033,eligible,N19,G006,0.6701457500457764,none,grounded,True,2,INSUFFICIENT,"The retrieved context lacks any tickets addressing spreadsheet formula corruption during file sharing, containing only payroll upload crashes and file share mounting issues.",INSUFFICIENT,"The retrieved tickets all address issues with mounting the \fs01inance share, which is unrelated to the spreadsheet program's formula scrambling issue.",True,True,do not match; not match,e7facf4a8ade66b795342688e41659c117f9d47b6f689b5c9c1c35a74264c000
S034,escalated,N18,,0.6631547212600708,low_retrieval_similarity,,,,INSUFFICIENT,The retrieved context lacks a solution for a messaging application automatically logging out users and causing a white screen upon re-authentication.,INSUFFICIENT,"The retrieved tickets all address brute-force attack issues on CRM and Ticketing System logins, not the login issue on the messaging program.",True,False,,d250497c0a40e6d4e4801ec345a580a9aef2d6e2ea4b62f4e099c31ba2531ee6
S035,eligible,A09,G029,0.6896988153457642,none,grounded,True,4,INSUFFICIENT,"The retrieved tickets address individual user SSO assignment failures, whereas the new ticket reports a persistent authentication failure across all provisioned endpoints requiring global remediation.",INSUFFICIENT,"The retrieved tickets all address SSO access failures for specific users to different cloud providers, but do not address authentication failures across all provisioned endpoints.",True,False,,93036d8af54c4d8deb1b4646b51fba6f85a426b9f755cc5103687567d7cc41fa
S036,escalated,A04,,0.6195766925811768,low_retrieval_similarity,,,,INSUFFICIENT,"The new ticket describes a vague general issue without specifying what is acting strange or identifying any particular problem, whereas the retrieved tickets address specific issues like NTP time drift and CRM stale data.",SUFFICIENT,"The retrieved tickets all address NTP time drift issues, which is the same category and family of problems as the new ticket's NTP time drift issue.",False,False,,7ed3508a59771f888f29157da5a97a2e4b36dbe3d5a52d09f0cdf55cfe987e72
S037,eligible,N20,G020,0.6982809901237488,none,grounded,True,2,SUFFICIENT,Retrieved past ticket #2 addresses the issue where data written in Inventory Manager is not immediately visible to other users due to a cache invalidation problem on write.,SUFFICIENT,"At least one retrieved ticket addresses the same underlying problem the new ticket reports, specifically the issue with Inventory Manager showing an error mentioning a broken connection to the data source and no records loading.",True,False,,0bacaebba44f9fdb06633e82c97a8130ca80749600915ebbb509fec22dd9eb9a
S038,escalated,N36,,0.636327862739563,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved tickets deal with digital password resets, SSO access, and application logins, whereas the new ticket requires physical access and badge management to unlock a building entrance.",INSUFFICIENT,"The retrieved tickets all address password reset and SSO access issues, which are different from the new ticket's issue of needing a side entrance unlocked for a badge holder.",True,False,,080dd16fbe03f94890646ba00cdda13082442902ff509ea2898ca1e06d7ccfc8
S039,escalated,A06,,0.604331374168396,low_retrieval_similarity,,,,INSUFFICIENT,"The new ticket only contains the text 'Help' and lacks any specific problem description, making it impossible for the retrieved context to address its underlying issue.",SUFFICIENT,"The retrieved tickets address issues related to file system backups and restores, which is relevant to the new ticket's request for a backup restore.",False,False,,3ce9deb198014745feb466310d41820c1a57c1402826cfd055efd93d0719dda1
S040,eligible,N03,G022,0.7057803869247437,none,grounded,True,1,INSUFFICIENT,"The retrieved tickets address a complete Wi-Fi outage affecting an entire office due to a controller configuration loss, whereas the new ticket describes intermittent Wi-Fi drops localized to a single meeting room while the rest of the building is fine.",INSUFFICIENT,"The retrieved tickets all address Wi-Fi outages at the Hyderabad Office, but do not specifically mention issues with the third floor meeting room or video calls.",True,False,,3c6b648c174425f4fa3656bb2b249b3502b70f77f385cf47f02b7d16e3f8d029
S041,eligible,N38,G001,0.6950258016586304,none,grounded,True,1,INSUFFICIENT,"The retrieved tickets address an office-wide Wi-Fi outage caused by a wireless controller configuration loss, whereas the new ticket describes a single laptop's inability to connect to the network.",INSUFFICIENT,"The retrieved tickets all address Wi-Fi outages at the Hyderabad Office, but the new ticket reports a laptop not connecting to the office network, which is a different issue.",True,False,,669534458bd3d0371dc34dbbf70749bf0348401988283c2191c2537fe9fdd2d0
S042,escalated,N15,,0.6563721895217896,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved past tickets only address performance issues and folder restorations on a file server, whereas the new ticket concerns a meeting notes application wiping out typed content upon saving.",INSUFFICIENT,"The retrieved tickets all address issues with read/write performance on \fs01inance, but do not address the specific issue of the notes app wiping out everything typed after saving.",True,False,,150a07c38fc25563ef8ee72618ba8e3860b4e0cfd5c7c270116643214c722a35
S043,eligible,N07,G002,0.8307088017463684,none,grounded,True,2,SUFFICIENT,"The retrieved past tickets describe the exact same symptom of connection pool exhaustion preventing customer record lookups, providing applicable resolutions to restart the pooler.",SUFFICIENT,"At least one retrieved ticket addresses the same underlying problem the new ticket reports, specifically about the records system.",True,False,,7aa8a82511e55a9366306790719a87ab6a00fdb5a96a55d7f2808df273b7337b
S044,escalated,N12,,0.6463056802749634,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved tickets deal with database connection exhaustion, credential rotations, and missing query indexes, whereas the new ticket describes a software crash specifically triggered by clicking the print button in the invoicing software.",INSUFFICIENT,The retrieved tickets do not address the invoicing software print button error.,True,False,,33d7f2927d4f122e83db473b128d173f2f5739443f1343f9e9a0781d7e92fa3e
S045,escalated,N41,,0.6541284322738647,low_retrieval_similarity,,,,INSUFFICIENT,"The retrieved tickets address datacenter and office-wide network drops caused by faulty uplink switches, whereas the new ticket describes an individual computer losing connection specifically when left idle for lunch.",INSUFFICIENT,"The retrieved tickets all pertain to intermittent network drops at Bangalore DC and Hyderabad Office, but do not address the specific issue of the new ticket which is about internet drops at the user's desk.",True,False,,7eeb15fa1449bde2bcfc4bd4dc536d1ce9558fe4243a521dcf9237ebb413dfbf
S046,eligible,N08,G016,0.7711212038993835,none,grounded,True,3,INSUFFICIENT,"The retrieved tickets address connection errors for specific named applications (Payroll, Procurement Portal, Expense Tracker, HR Self-Service), but the new ticket refers generally to 'the report tool' without specifying which application or backend data store is affected.",INSUFFICIENT,"The retrieved tickets all address Payroll issues, but the new ticket reports an issue with a different tool (the report tool) and does not mention any connection issues, only a broken connection to where the data is kept.",True,False,,8b5fcc9ece4437bff2060580bd0602b63ae9735bf013e51c2c609a6d0257e8df
S047,eligible,N10,G030,0.6733653545379639,none,grounded,True,2,INSUFFICIENT,"The retrieved tickets deal with confirmed trojans detected and quarantined by the EDR agent on specific endpoints, whereas the new ticket is a user-reported antivirus warning about a potentially blocked suspicious item without confirmation of an active infection.",INSUFFICIENT,"The retrieved tickets all address the same issue but involve different users. The new ticket does not specify the user affected, so the resolution cannot be directly applied.",True,False,,545cfd827c5eb6063e589195f6d2230412fd2ece1213b95cff42b917897a19f1
S048,eligible,N21,G010,0.6754908561706543,none,grounded,True,3,INSUFFICIENT,"The retrieved context lacks a solution for client tracker address entry loss and blank search pages, focusing instead on Expense Tracker DNS, database connection, and search index issues.",INSUFFICIENT,"The retrieved tickets all address issues with DNS resolution for Expense Tracker, while the new ticket reports a blank page and missing client entries in the tracker.",True,False,,01a839f94b98556b767f8de9710be5d4c869ef2a586ad1da60fbc7f37c9c3daf
S049,eligible,N22,G008,0.6996182203292847,none,grounded,True,2,INSUFFICIENT,The retrieved tickets deal with data caching and connection issues rather than deleted entries reappearing due to persistence or save failures in a lookup list.,SUFFICIENT,"The retrieved tickets all address the issue of stale data in the Vendor Portal, which matches the new ticket's problem.",False,False,,af08ea0dcef9848f4e547d25f78f69ec56278e6e569c1f03fcbdfb51ca11416d
S050,eligible,N25,G023,0.7354455590248108,none,grounded,True,1,INSUFFICIENT,"The retrieved tickets address failing to mount or map file shares on new machines due to SMB protocol settings, whereas the new ticket is about running out of disk space when copying folders.",INSUFFICIENT,"The retrieved tickets all address issues with the \nas03inance share, not the \nas03/projects share mentioned in the new ticket.",True,False,,72150592b062bf1864d8627bf37a3e32ea9d1804e8d8ed5c59c7c593de906d76
S051,escalated,N45,,0.6396739482879639,low_retrieval_similarity,,,,SUFFICIENT,"The retrieved tickets provide resolutions for system time drift issues by reconfiguring chrony to use the internal NTP pool and forcing an immediate sync, which directly addresses the time synchronization problem described in the new ticket.",SUFFICIENT,"The retrieved tickets all address NTP time drift issues on internal applications, which is relevant to the new ticket's clock drift problem.",True,False,,df3d53d2a57f8217e5e219213d696d36699e263f4ff55b61869d5076188f20e0
S052,eligible,N02,G032,0.8112151622772217,none,grounded,True,1,INSUFFICIENT,"The retrieved tickets deal with users who can see the folder but get 'access denied' when opening files inside it, whereas the new ticket describes a user who cannot access the folder at all and needs permissions granted to open it.",SUFFICIENT,All retrieved tickets address the issue of users getting 'access denied' when trying to open files in the \fs01inance shared folder.,False,False,,837f27c46b6dbfdeb00c165722c7b48b68b0f9392dfc363bbc4390d87d5e82d7
S053,eligible,N09,G033,0.7071911096572876,none,grounded,False,2,SUFFICIENT,"Retrieved past tickets such as TCK-71782 address users clicking a phishing credential-harvesting link and provide the necessary resolution of removing the email, blocking the domain, and resetting passwords.",SUFFICIENT,"The retrieved tickets all address phishing emails, which is the same category and family of issues as the new ticket.",True,False,,eb9c505685da527b1f86c04cc296acfe50856edc4c59c2fa9a1b758697e4ca1d
S054,escalated,N28,,0.6182001829147339,low_retrieval_similarity,,,,INSUFFICIENT,None of the retrieved tickets address checking physical access or file auditing on an unlocked laptop left unattended.,SUFFICIENT,"The retrieved tickets all address security issues related to secrets and credentials, which is topical overlap with the new ticket's security concern.",False,False,,968566a9ddf399e8259347dc53bf4cc545ccc632b6fd82758c0b5eac4207c18d
