batch_ticket_id,original_id,category,scenario_id,resolution_status,resolution_text
188,423,Infrastructure,6,auto_resolved,"**Suggested Resolution:**
The health-check endpoint on VM-BATCH-10 is likely timing out under load. To resolve the issue, raise the probe timeout and interval settings on the load balancer to prevent it from marking the backend as unhealthy and pulling it out of rotation.

*Note: The retrieved examples closely match this ticket and its resolution.*"
195,1367,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Check if the cron job on K8S-NODE-15 is failing due to a full `/tmp` directory. Clean the `/tmp` directory and move the job's scratch space to a larger volume.

*Note: The retrieved examples closely match this ticket; however, a human agent should double-check to ensure the issue is resolved.*"
198,2395,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on PRD-CACHE-02 to verbose debug logging writing synchronously, disable debug logging, and move the logs to a dedicated volume.

*Note: The retrieved examples closely match this new ticket.*"
202,2575,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on K8S-NODE-15, cap its cgroup CPU quota, and scale the service horizontally to shed load.

*Note: The retrieved examples are an exact match for this ticket, so the resolution is directly applicable.*"
208,3205,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process causing the high CPU usage on VM-BATCH-09, cap its cgroup CPU quota, and scale the service horizontally to shed the excess load. 

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should still verify the specific process and scaling parameters.*"
223,1807,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on PRD-APP-03 to verbose debug logging writing synchronously, disable debug logging, and move the logs to a dedicated volume.

*Note: The retrieved examples closely match the new ticket.*"
230,1660,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on K8S-NODE-14, cap its cgroup CPU quota, and scale the service horizontally to shed load. 

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should double-check the execution and results.*"
231,1892,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to PRD-CACHE-03 to check for a failed `fstab` mount blocking the boot process. Once identified, correct the mount entry to allow the host to boot cleanly.

*Note: The retrieved examples closely match the new ticket.*"
232,2410,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on server PRD-CACHE-03, cap its cgroup CPU quota, and scale the service horizontally to shed load. 

*Note: The retrieved examples closely match the new ticket (including an exact historical match for PRD-CACHE-03).*"
234,438,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on PRD-DB-11 to verify if verbose debug logging is writing synchronously. Disable the debug logging and move the logs to a dedicated volume.

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should still double-check the host environment after applying the fix.*"
244,953,Infrastructure,6,auto_resolved,"**Suggested Resolution:**
The health-check endpoint on VM-BATCH-09 is timing out under load. Raise the probe timeout and interval settings to keep VM-BATCH-09 reliably in rotation.

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should still double-check the configuration changes before applying them.*"
246,3702,Infrastructure,4,auto_resolved,"**Suggested Resolution:**
Reconfigure chrony on PRD-WEB-02 to use the internal NTP pool and force an immediate sync to bring the drift back to sub-millisecond.

*Note:* The retrieved examples closely and directly match the new ticket."
247,2486,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on node `PRD-WEB-02` and clear the stale disk-pressure taint. This will allow the node to rejoin the cluster and ensure pending pods are rescheduled successfully.

*Note: The retrieved past tickets closely match this issue; however, a human agent should double-check the execution.*"
248,3325,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on STG-APP-07 and add a memory-usage alert at 80% to catch future memory exhaustion issues earlier.

*Note: The retrieved examples closely match the new ticket.*"
264,1431,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on VM-BATCH-09 and clear any stale disk-pressure taint so that the node rejoins the cluster and the pending pods are able to reschedule. 

*Note: The retrieved examples closely match the new ticket.*"
268,473,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on STG-APP-07 and add a memory-usage alert set at 80% to catch future memory exhaustion earlier. 

*Note: The retrieved past tickets closely match this new ticket; however, a human agent should still verify the appropriate container and memory allocation values.*"
295,520,Infrastructure,6,auto_resolved,"**Suggested Resolution:**
The health-check endpoint on PRD-QUEUE-06 is timing out under load. Resolve this by raising the probe timeout and interval for the load balancer configuration, which will keep PRD-QUEUE-06 reliably in rotation.

*Note: The retrieved examples closely match this ticket.*"
318,391,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on node `PRD-WEB-01` and clear any stale disk-pressure taint. This will allow the node to rejoin the cluster and ensure the pending pods are successfully rescheduled.

*Note: The retrieved examples are an exact match for this ticket, but a human agent should still double-check the node status post-restart.*"
323,252,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on PRD-AUTH-05 to verbose debug logging writing synchronously, disable debug logging, and move the logs to a dedicated volume.

*Note: The retrieved past tickets are an exact match for this issue; however, a human agent should still verify that the steps successfully resolve the disk utilization on the host.*"
325,107,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to PRD-APP-04 to check for a failed `fstab` mount blocking the boot process. Correct the faulty mount entry so the host can boot cleanly. 

*Note: The retrieved examples closely match the new ticket and successfully resolved identical issues on this server.*"
327,2101,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on K8S-NODE-14 and add a memory-usage alert set at 80% to catch future issues earlier.

*Note: The retrieved examples closely match the new ticket.*"
332,3443,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on PRD-WEB-02 to identify verbose debug logging writing synchronously. Disable debug logging and move the logs to a dedicated volume to resolve the high disk utilization and I/O wait.

*Note: The retrieved examples closely match the new ticket; however, a human agent should double-check to confirm that verbose debug logging is indeed the active cause.*"
333,929,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on STG-APP-08 and add a memory-usage alert at 80% to catch future memory exhaustion issues earlier.

*Note: The retrieved past tickets closely match the new ticket.*"
334,3696,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on K8S-NODE-15 and add a memory-usage alert set at 80% to catch future memory exhaustion issues earlier.

*Note: The retrieved examples closely match the new ticket.*"
340,427,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on VM-BATCH-09, cap its cgroup CPU quota, and scale the service horizontally to shed load.

*Note: The retrieved examples closely match the new ticket.*"
341,1246,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on K8S-NODE-15 and add a memory-usage alert at 80% to catch future memory exhaustion issues earlier.

*Note: The retrieved examples closely match the new ticket.*"
346,354,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Check the cron job on STG-APP-08 to see if it is hitting a full `/tmp` directory. Clean the `/tmp` directory and move the job's scratch space to a larger volume.

*Note: The retrieved examples closely match this ticket (an exact match), so these steps can be applied directly.*"
353,2682,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on PRD-DB-12 and add a memory-usage alert at 80% to catch future memory exhaustion issues earlier.

*Note: The retrieved past tickets closely and directly match the new ticket.*"
356,3505,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on PRD-CACHE-02 and clear any stale disk-pressure taint. Once completed, the node will rejoin the cluster and the pods will reschedule.

*Note: The retrieved past tickets closely match this issue; however, a human agent should double-check the steps.*"
361,3088,Infrastructure,6,auto_resolved,"**Suggested Resolution:**
The health-check endpoint on VM-BATCH-10 is timing out under load. Raise the probe timeout and interval on the load balancer to keep VM-BATCH-10 reliably in rotation.

*Note: The retrieved examples closely match this ticket.*"
364,555,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on node STG-APP-07 and clear the stale disk-pressure taint so that the node rejoins the cluster and the pending pods can reschedule.

*Note: The retrieved examples closely match this ticket and directly support this resolution.*"
365,2837,Infrastructure,8,auto_resolved,"**Suggested Resolution:**
Check the autoscaling policy for PRD-WEB-02, as it likely references a stale metric. Correct the scaling metric and cooldown period to allow new instances to launch on demand.

*Note: The retrieved past tickets are an exact match for this issue; however, a human agent should still verify the configuration changes.*"
366,286,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on PRD-WEB-03 to verbose debug logging writing synchronously, then disable debug logging and move the logs to a dedicated volume.

*Note:* The retrieved examples closely match the new ticket."
371,2591,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on PRD-WEB-02 and add a memory-usage alert at 80% to catch future memory exhaustion issues earlier.

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should still double-check the server state before applying changes.*"
379,3560,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Check if the cron job on K8S-NODE-14 is hitting a full `/tmp` directory. Clean the `/tmp` directory and move the job's scratch space to a larger volume.

*Note:* The retrieved examples are an exact match for this ticket; however, a human agent should double-check the execution environment to ensure no new variables are causing the failure."
383,638,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to PRD-AUTH-05 to check for a failed `fstab` mount blocking the boot process. Correct the mount entry, then reboot the host to ensure it boots cleanly and responds to SSH and ping.

*Note: The retrieved examples closely match this new ticket and directly apply.*"
386,2099,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on K8S-NODE-15 to verbose debug logging writing synchronously. Disable the debug logging and move the logs to a dedicated volume to resolve the disk utilization and I/O wait issues.

*Note: The retrieved examples closely match the new ticket.*"
388,3700,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Check the `/tmp` directory on PRD-WEB-02, as the cron job is likely hitting a full `/tmp` space resulting in a non-zero exit code. Clean the directory and move the job's scratch space to a larger volume.

*Note: The retrieved past tickets closely match this issue and provide the exact resolution steps used previously.*"
390,1525,Infrastructure,4,auto_resolved,"**Suggested Resolution:**
Reconfigure chrony on K8S-NODE-15 to use the internal NTP pool and force an immediate sync to correct the time drift and restore normal operation.

*Note: The retrieved examples closely match this new ticket and provide a direct resolution.*"
412,248,Infrastructure,2,auto_resolved,"**Suggested Resolution:**
Increase the memory limit for the affected container on PRD-AUTH-05 and add a memory-usage alert at 80% to catch future memory exhaustion issues earlier.

*Note: The retrieved examples closely match the new ticket.*"
418,2164,Infrastructure,7,auto_resolved,"**Suggested Resolution:**
Trace the I/O saturation on VM-BATCH-09 to verbose debug logging writing synchronously. Disable debug logging and move the logs to a dedicated volume to resolve the disk utilization and I/O wait.

*Note:* The retrieved examples are an exact match for this ticket; however, a human agent should still verify the environment after applying the fix."
419,3587,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on `PRD-CACHE-02` and clear the stale disk-pressure taint so that the node can rejoin the cluster and the pending pods can reschedule.

*Note: The retrieved past tickets are an exact match for this issue; however, a human agent should double-check the node status and pod rescheduling after performing the steps.*"
421,504,Infrastructure,2,auto_resolved,"Based on past resolved tickets for this exact issue, the recommended resolution is to increase the memory limit for the affected container on STG-APP-07 and add a memory-usage alert at 80% to catch future memory exhaustion earlier. 

*Note: The retrieved examples closely match the new ticket.*"
424,3341,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on server PRD-QUEUE-06, cap its cgroup CPU quota, and scale the service horizontally to shed load.

*Note: The retrieved examples closely match the new ticket and provide a direct resolution.*"
426,755,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to PRD-APP-03 to check for a failed `fstab` mount blocking the boot process. Once identified, correct the mount entry to allow the host to boot cleanly.

*Note: The retrieved examples closely match this new ticket and directly apply to the issue.*"
428,958,Infrastructure,6,auto_resolved,"**Suggested Resolution:**
The health-check endpoint on PRD-WEB-01 is likely timing out under load. Resolve this by raising the probe timeout and interval on the load balancer, which will keep PRD-WEB-01 reliably in rotation.

*Note:* The retrieved examples match this new ticket exactly; however, a human agent should double-check that adjusting the probe timeout resolves the specific load conditions on PRD-WEB-01."
432,2941,Infrastructure,1,auto_resolved,"**Suggested Resolution:**
Gain console access to server PRD-APP-04 to check for a failed `fstab` mount blocking the boot process. Once identified, correct the mount entry so the host can boot cleanly.

*Note: The retrieved examples closely match this ticket.*"
435,951,Infrastructure,0,auto_resolved,"**Suggested Resolution:**
Identify the runaway process on server PRD-APP-03, cap its cgroup CPU quota, and scale the service horizontally to shed load. 

*Note:* The retrieved examples are an exact match for this ticket; however, a human agent should double-check the server state and scaling actions before applying."
439,2568,Infrastructure,5,auto_resolved,"**Suggested Resolution:**
Check the cron job on PRD-WEB-01 to confirm if it is hitting a full `/tmp` directory. Clean out the `/tmp` directory and move the job's scratch space to a larger volume.

*Note: The retrieved examples are an exact match for this ticket; however, a human agent should still double-check the server state.*"
441,1848,Infrastructure,3,auto_resolved,"**Suggested Resolution:**
Restart the kubelet on node PRD-QUEUE-06 and clear the stale disk-pressure taint. This will allow the node to rejoin the cluster and ensure the pending pods are successfully rescheduled.

*Note: The retrieved past tickets are an exact match for this issue; however, a human agent should double-check to confirm the node rejoins the cluster correctly.*"
