category,cluster_id,size,batch_ticket_ids,representative_resolution_text_truncated
Infrastructure,13,3,48;202;230,"**Suggested Resolution:** Identify the runaway process on K8S-NODE-14, cap its cgroup CPU quota, and scale the service horizontally to shed load. *Not..."
Infrastructure,14,3,136;208;340,"**Suggested Resolution:** Identify the runaway process on VM-BATCH-09, cap its cgroup CPU quota, and scale the service horizontally to shed load. *Not..."
Infrastructure,15,2,120;484,"**Suggested Resolution:** Gain console access to server K8S-NODE-14 to investigate the boot process, as it is likely blocked by a failed `fstab` mount..."
Infrastructure,16,2,154;160,"**Suggested Resolution:** Gain console access to VM-BATCH-09 to check for a failed fstab mount blocking the boot process, then correct the mount entry..."
Application,0,13,4;8;44;52;81;135;137;174;179;304;336;345;456,**Suggested Resolution:** Investigate the database behind the Vendor Portal to check for full table scans caused by a missing index. Add the missing d...
Application,1,13,110;124;176;206;225;254;257;271;349;376;389;447;482,**Suggested Resolution:** Investigate the recent Expense Tracker deployment for a missed database migration. Run the pending migration and redeploy th...
Application,2,10,119;128;189;197;305;329;378;400;458;460,"**Suggested Resolution:** Raise the upload body-size limit in the Vendor Portal reverse proxy and worker config, then verify that large file uploads c..."
Application,3,7,34;59;190;199;296;401;411,"**Suggested Resolution:** Trace the Billing Portal HTTP 500 errors to an unhandled null in the request handler, then deploy a hotfix that includes inp..."
Application,4,5,28;242;315;369;481,"**Suggested Resolution:** Trace the Analytics Dashboard HTTP 500 errors to an unhandled null in the request handler, deploy a hotfix, and add input va..."
Application,5,5,39;212;321;427;470,**Suggested Resolution:** The HR Self-Service cache is not being invalidated on write. Fix the cache-busting key and reduce the TTL so users see curre...
Application,6,5,53;129;224;415;494,"**Suggested Resolution:** Trigger a full reindex of the Procurement Portal search index, as it has drifted out of sync with the database. Additionally..."
Application,7,5,204;280;331;359;380,"**Suggested Resolution:** The outbound mail worker for the Ticketing System has a stuck queue following an SMTP change. Update the mailer settings, dr..."
Application,8,3,12;142;360,"**Suggested Resolution:** Correct the Field Service App session cookie domain settings, which were misconfigured after a deploy, and clear the CDN cac..."
Application,9,3,55;259;489,"**Suggested Resolution:** Fix the Payroll cache, as it is not being invalidated on write. Update the cache-busting key and reduce the TTL to ensure us..."
Application,10,3,152;182;205,"**Suggested Resolution:** The Salesforce API credentials used by the Procurement Portal have expired. Rotate the token, store the new token securely i..."
Application,11,2,84;239,"**Suggested Resolution:** Run the pending database migration that was missed during the recent Field Service App deploy, then redeploy the application..."
Application,12,2,172;178,**Suggested Resolution:** The Procurement Portal cache is not being invalidated on write. Fix the cache-busting key and reduce the TTL so users see cu...
Application,13,2,250;265,"**Suggested Resolution:** The Workday API credentials used by Inventory Manager have likely expired. Rotate the authentication token, store the new to..."
Application,14,2,285;473,"**Suggested Resolution:** Trigger a full reindex of the Billing Portal search index, as it has drifted out of sync with the database. Additionally, sc..."
Application,15,2,444;491,"**Suggested Resolution:** Rotate the expired GCP API credentials used by the CRM, store the new token in the secrets manager, and re-enable the sync j..."
Application,16,2,461;480,**Suggested Resolution:** Trace the HTTP 500 errors in the Field Service App to the unhandled null in the request handler. Deploy a hotfix and add inp...
Security,0,13,77;101;207;211;307;308;312;328;354;417;437;443;466,"**Suggested Resolution:** Lock account r.desai, force a credential reset and MFA re-enrolment, and confirm from session logs that no data exfiltration..."
Security,1,7,62;218;266;284;373;394;465,"**Suggested Resolution:** Apply the vendor security patch to PRD-CACHE-02 during an emergency change window, then rescan the system to confirm that th..."
Security,2,7,145;194;215;222;227;363;374,"**Suggested Resolution:** Reissue and install a valid TLS certificate for the Vendor Portal, then configure auto-renewal via ACME to prevent future re..."
Security,3,6,69;118;126;148;149;339,"**Suggested Resolution:** Remove the phishing message from all mailboxes via mail-flow rules, block the sender domain, and reset passwords for the aff..."
Security,4,6,184;220;273;302;357;409,"**Suggested Resolution:** Revoke the leaked cloud key immediately, rotate all affected credentials, and enable pre-commit secret scanning to block fut..."
Security,5,6,351;399;413;429;451;497,"**Suggested Resolution:** Isolate the endpoint of j.singh from the network, run a full offline scan to remove the trojan, and re-image the machine as ..."
Security,6,5,108;117;125;342;438,"**Suggested Resolution:** Enable rate limiting and account lockout on the Analytics Dashboard login endpoint, add the attacking IP ranges to a block l..."
Security,7,4,134;196;367;404,"**Suggested Resolution:** Revoke the unauthorized administrator rights from account `s.khan`, trace the change to identify and fix the misconfigured g..."
Security,8,2,146;158,"**Suggested Resolution:** Restrict port 443 on VM-BATCH-10 to the internal management network using firewall and security-group rules, then verify tha..."
Database,0,5,74;85;162;261;297,"**Suggested Resolution:** Analyze the `catalog_pg` slow-query log, add the two missing indexes, and rewrite the correlated subquery to reduce executio..."
Database,1,5,274;281;326;416;475,**Suggested Resolution:** The application server's connection pool to the database (such as `billing_mysql`) has likely exhausted. Restart the connect...
Database,2,4,73;75;94;255,"**Suggested Resolution:** Archive the old WAL/transaction logs and expand the `sessions_redis` data volume. Once the disk space is freed and expanded,..."
Database,3,3,76;116;375,**Suggested Resolution:** Reorder the conflicting write operations to acquire locks in a consistent order on `customers_pg` and shorten the transactio...
Database,4,3,213;440;479,"**Suggested Resolution:** Tune the autovacuum thresholds and cost limits on `catalog_pg`, and run a manual vacuum on the worst tables to recover query..."
Database,5,2,279;387,"**Suggested Resolution:** Tune the autovacuum thresholds and cost limits on `billing_mysql`, then run a manual vacuum on the worst tables to recover q..."
Database,6,2,287;292,**Suggested Resolution:** Run consistency checks on `billing_mysql` to identify any corrupted indexes caused by an unclean shutdown. Rebuild the affec...
Storage,0,10,15;36;93;113;235;319;398;431;477;483,**Suggested Resolution:** The new machines are likely missing the updated SMB protocol setting required by `\\fs02\marketing`. Resolve this by pushing...
Storage,1,6,180;311;368;433;453;498,"**Suggested Resolution:** Tune the NFS mount options on PRD-APP-03 to use hard mounts with proper timeouts, and pin the client to a stable server addr..."
Storage,2,5,1;3;32;210;384,"**Suggested Resolution:** Review the current storage usage for the Kolkata Branch, archive stale data to cold storage, and raise their quota after rec..."
Storage,3,4,7;96;291;338,"**Suggested Resolution:** Restart the share service backing `\\nas05\engineering`, verify the permissions, and remap the share for the affected users...."
Storage,4,4,24;105;109;485,**Suggested Resolution:** Check the storage array behind `\\fs01\operations` for a failing disk causing rebuild-related slowness. Replace the failing ...
Storage,5,4,71;200;216;320,"**Suggested Resolution:** Replace the failed drive in the PRD-WEB-03 array, allow the array to rebuild, and confirm that full redundancy is restored w..."
Storage,6,4,130;237;408;464,**Suggested Resolution:** Correct the inherited NTFS permissions on `\\nas03\projects` for the relevant Remote/WFH group and re-propagated ACLs so the...
Storage,7,3,177;289;445,**Suggested Resolution:** Restore the requested folder on \\fs01\hr from the previous night's snapshot and confirm file integrity with the requesting ...
Storage,8,3,219;226;236,"**Suggested Resolution:** Restore the requested folder on \\nas03\media from the previous night's snapshot, then confirm file integrity with the reque..."
Storage,9,2,72;276,"**Suggested Resolution:** Check the disk array behind `\\nas05\engineering` for a failing disk causing rebuild-related slowness, and replace the faili..."
Network,0,13,91;127;221;233;243;256;260;267;298;348;370;472;476,**Suggested Resolution:** Check the wireless controller at Remote/WFH for config loss resulting from a power event. Restore the configuration to bring...
Network,1,5,20;54;95;217;396,**Suggested Resolution:** Correct the stale DNS record for the Ticketing System on the authoritative server and flush the resolver caches to restore r...
Network,2,5,67;70;88;165;372,"**Suggested Resolution:** Isolate the packet loss to determine if it is stemming from a faulty circuit segment on the Ahmedabad Office link, and have ..."
Network,3,5,112;317;377;442;457,**Suggested Resolution:** Trace the latency to identify if there is a saturated link on the path to PRD-CACHE-03. Reroute traffic over a secondary pat...
Network,4,4,228;337;352;391,"**Suggested Resolution:** Inspect the uplink switch at Noida Tech Park for flapping, replace the faulty switch, and reconfigure link redundancy to pre..."
Network,5,3,163;293;414,"**Suggested Resolution:** Add an explicit firewall allow rule for port 6379 scoped to the required source ranges, and then verify that the service bec..."
Network,6,2,10;245,"**Suggested Resolution:** Trace the latency to identify the saturated link on the path to PRD-AUTH-05, reroute traffic over a secondary path, and open..."
Network,7,2,13;49,"**Suggested Resolution:** Check for a routing change that may have removed the path from the Ahmedabad Office to the service subnet on port 6379, and ..."
Network,8,2,37;288,"**Suggested Resolution:** Restore the missing route from Pune Branch to the service subnet on port 3306, as a routing change had removed the path. Onc..."
Network,9,2,150;313,"**Suggested Resolution:** Investigate whether a recent routing change has removed the path from Pune Branch to the service subnet on port 8080. If so,..."
Network,10,2,159;499,**Suggested Resolution:** Enlarge the IP pool on the VPN concentrator serving the Pune Branch and clear any stale sessions to restore VPN access. *Not...
Network,11,2,278;301,**Suggested Resolution:** Enlarge the IP pool on the VPN concentrator serving Mumbai HQ and clear any stale sessions to restore VPN access. *Note: The...
Network,12,2,314;474,"**Suggested Resolution:** Based on past tickets for this exact issue, the intermittent network drops are caused by a flapping uplink switch at the Ahm..."
Network,13,2,355;393,**Suggested Resolution:** Trace the latency to identify the saturated link on the path to K8S-NODE-15. Reroute traffic over a secondary path and open ...
Access Management,0,6,21;26;64;166;385;490,"**Suggested Resolution:** Verify the identity of user p.menon, reset their password, and require a password change along with MFA re-registration at t..."
Access Management,1,6,43;324;382;392;423;446,"**Suggested Resolution:** Grant user v.nair delegate permissions on the Delhi Sales shared mailbox, confirm that the mailbox appears in their email cl..."
Access Management,2,5,92;143;173;405;455,"**Suggested Resolution:** Verify user n.gupta out of band, reset their MFA enrolment, and guide them through registering a new authenticator device. *..."
Access Management,3,2,22;343,**Suggested Resolution:** Grant user j.singh time-boxed elevated access to Payroll via the privileged-access workflow with an automatic expiry set aft...
Access Management,4,2,31;201,"**Suggested Resolution:** Verify the identity of user m.chatterjee, reset their corporate account password, and configure the account to require a pas..."
Access Management,5,2,79;83,"**Suggested Resolution:** Provision n.gupta with the standard role granting email, Ticketing System, and Kolkata Branch share access, and confirm succ..."
Access Management,6,2,191;434,"**Suggested Resolution:** Verify if user p.menon is missing from the AWS SSO assignment group. If so, add them to the group and confirm that federated..."
Access Management,7,2,209;322,"**Suggested Resolution:** Disable the j.singh account, revoke all group memberships and tokens, and transfer any owned resources to their manager. *No..."
Access Management,8,2,299;459,"**Suggested Resolution:** Verify manager approval, add user r.sharma to the requested Chennai Support finance security group, and verify that the new ..."
