id,title,description,category,resolution,priority,scenario_id
25,Permissions incorrect on \\fs01\hr,[TCK-94887] User r.desai reports that several Pune Branch users report they can see the folder \\fs01\hr but get 'access denied' when opening files inside it. Kindly look into this at the earliest.,Storage,Corrected the inherited NTFS permissions on \\fs01\hr for the relevant Pune Branch group and re-propagated ACLs so the files opened as expected.,Medium,6
26,Server PRD-WEB-01 unresponsive after reboot,[TCK-19046] Reported by the Remote/WFH team: PRD-WEB-01 failed to come back online following a scheduled reboot and is not responding to SSH or ping. Please investigate and resolve.,Infrastructure,Console access to PRD-WEB-01 showed a failed fstab mount blocking boot; corrected the mount entry and the host booted cleanly.,High,1
27,Role change access review for k.verma,[TCK-92898] Ticket raised because user k.verma has moved teams and still holds permissions from their previous Learning Management System role that need to be reconciled. This is impacting daily work.,Access Management,"Reviewed the entitlements for k.verma, removed the obsolete Learning Management System permissions from the prior role, and assigned the correct role for their new team.",Low,7
28,Service on port 3306 unreachable from Bangalore DC,[TCK-33482] Monitoring alerted us that users at Bangalore DC cannot connect to an internal service on port 3306 although it works from other sites. Escalating for investigation.,Network,A routing change had removed the path from Bangalore DC to the service subnet on port 3306; restored the missing route and confirmed connectivity from Bangalore DC.,Low,8
29,inventory_pg backup job failing,[TCK-51192] Reported by the Bangalore DC team: the nightly backup for inventory_pg has failed for two days and no recent restore point exists. Please investigate and resolve.,Database,"The inventory_pg backup was failing due to insufficient target disk space; expanded the backup volume, reran the job, and verified a test restore.",High,4
30,Suspicious login attempts on account v.nair,[TCK-31218] Issue summary: multiple failed login attempts followed by a success on account v.nair from an unfamiliar country. It started earlier today and has not self-resolved.,Security,"Locked account v.nair, forced a credential reset and MFA re-enrolment, and confirmed no data exfiltration occurred in the session logs.",High,0
31,File share \\nas03\media inaccessible,[TCK-10452] Flagged during routine checks: users cannot access the network file share \\nas03\media; it returns 'network path not found'. Please confirm root cause and next steps.,Storage,"The share service backing \\nas03\media had crashed; restarted it, verified permissions, and remapped the share for affected users.",High,0
32,Expired TLS certificate on HR Self-Service,[TCK-89522] Monitoring alerted us that the TLS certificate for HR Self-Service has expired and browsers are showing security warnings to all users. Escalating for investigation.,Security,"Reissued and installed a valid TLS certificate for HR Self-Service, then configured auto-renewal via ACME to prevent recurrence.",High,3
33,Password reset for k.verma,[TCK-68528] Issue summary: user k.verma is locked out and has requested a password reset for their corporate account. It started earlier today and has not self-resolved.,Access Management,"Verified the identity of k.verma, reset the password, and required a change plus MFA re-registration at next login.",Low,1
34,File share \\nas03\projects inaccessible,[TCK-79682] Monitoring alerted us that users cannot access the network file share \\nas03\projects; it returns 'network path not found'. Escalating for investigation.,Storage,"The share service backing \\nas03\projects had crashed; restarted it, verified permissions, and remapped the share for affected users.",Medium,0
35,Permissions incorrect on \\nas03\media,[TCK-80105] Flagged during routine checks: several Chennai Support users report they can see the folder \\nas03\media but get 'access denied' when opening files inside it. Please confirm root cause and next steps.,Storage,Corrected the inherited NTFS permissions on \\nas03\media for the relevant Chennai Support group and re-propagated ACLs so the files opened as expected.,Medium,6
36,NTP time drift on VM-BATCH-10,"[TCK-10205] Support desk logged the following: VM-BATCH-10 clock has drifted several seconds, breaking token validation and log correlation. Awaiting assignment to the right team.",Infrastructure,Reconfigured chrony on VM-BATCH-10 to use the internal NTP pool and forced an immediate sync; drift returned to sub-millisecond.,High,4
37,HR Self-Service scheduled report emails not sending,[TCK-14455] Issue summary: the scheduled report emails from HR Self-Service have silently stopped going out and users are not receiving their daily summaries. It started earlier today and has not self-resolved.,Application,"The outbound mail worker for HR Self-Service had a stuck queue after an SMTP change; updated the mailer settings, drained the queue, and confirmed reports resumed.",Low,6
38,orders_pg running out of connections,[TCK-94547] User a.patel reports that orders_pg is rejecting new connections with a 'too many connections' error during peak traffic. Kindly look into this at the earliest.,Database,Introduced a connection pooler in front of orders_pg and lowered per-service pool sizes; connection exhaustion no longer occurs at peak.,Low,1
39,Storage quota exceeded for Bangalore DC,[TCK-42322] User m.chatterjee reports that the Bangalore DC team has hit its storage quota and can no longer save new files to their share. Kindly look into this at the earliest.,Storage,"Reviewed usage for Bangalore DC, archived stale data to cold storage, and raised their quota after manager approval.",Medium,5
40,Password reset for d.mehta,[TCK-71605] We are observing that user d.mehta is locked out and has requested a password reset for their corporate account. Requesting priority attention from the relevant team.,Access Management,"Verified the identity of d.mehta, reset the password, and required a change plus MFA re-registration at next login.",Medium,1
41,Slow queries on audit_mysql,"[TCK-40408] Monitoring alerted us that several queries against audit_mysql have degraded to multi-second execution times, slowing the whole app. Escalating for investigation.",Database,"Analyzed the audit_mysql slow-query log, added two missing indexes and rewrote a correlated subquery; query times dropped by over 90%.",High,2
42,Stale data shown in Field Service App,[TCK-20852] Monitoring alerted us that Field Service App is displaying data that is several hours out of date despite the source having been updated. Escalating for investigation.,Application,The Field Service App cache was not being invalidated on write; fixed the cache-busting key and reduced the TTL so users see current data.,Medium,4
43,Packet loss on the link to Pune Branch,"[TCK-51805] Ticket raised because the WAN link to Pune Branch is showing steady packet loss, causing choppy calls and dropped sessions. This is impacting daily work.",Network,Isolated the packet loss to a faulty circuit segment on the Pune Branch link; the carrier replaced the segment and loss dropped back to zero.,High,6
44,Procurement Portal scheduled report emails not sending,[TCK-90460] User p.menon reports that the scheduled report emails from Procurement Portal have silently stopped going out and users are not receiving their daily summaries. Kindly look into this at the earliest.,Application,"The outbound mail worker for Procurement Portal had a stuck queue after an SMTP change; updated the mailer settings, drained the queue, and confirmed reports resumed.",Low,6
45,DHCP not assigning addresses at Kolkata Branch,[TCK-72735] Support desk logged the following: new devices at Kolkata Branch are failing to get an IP address and fall back to self-assigned addresses. Awaiting assignment to the right team.,Network,"The DHCP scope for Kolkata Branch had exhausted its available leases; expanded the scope range and shortened the lease time, and devices began getting addresses again.",Medium,7
46,Password reset for r.desai,[TCK-91582] We are observing that user r.desai is locked out and has requested a password reset for their corporate account. Requesting priority attention from the relevant team.,Access Management,"Verified the identity of r.desai, reset the password, and required a change plus MFA re-registration at next login.",Medium,1
47,Replication lag on billing_mysql,"[TCK-20726] Flagged during routine checks: the read replica for billing_mysql is lagging the primary by several minutes, serving stale reads to the application. Please confirm root cause and next steps.",Database,"Found a long-running analytics query blocking replication on billing_mysql; killed it, tuned the replica I/O, and lag returned to under a second.",High,0
48,Memory exhaustion on PRD-CACHE-02,[TCK-61629] Ticket raised because PRD-CACHE-02 is reporting out-of-memory kills and the OOM killer has terminated critical services. This is impacting daily work.,Infrastructure,Increased the memory limit for the affected container on PRD-CACHE-02 and added a memory-usage alert at 80% to catch it earlier.,High,2
49,Scheduled job failing on PRD-DB-12,[TCK-32838] Reported by the Mumbai HQ team: the nightly batch job on PRD-DB-12 has failed three consecutive runs with a non-zero exit code. Please investigate and resolve.,Infrastructure,Found the cron job on PRD-DB-12 was hitting a full /tmp; cleaned the directory and moved the job's scratch space to a larger volume.,High,5
50,Firewall blocking port 8080,[TCK-32658] Reported by the Hyderabad Office team: a required service is unreachable because traffic on port 8080 appears to be blocked by the firewall. Please investigate and resolve.,Network,Added an explicit firewall allow rule for port 8080 scoped to the required source ranges and verified the service became reachable.,High,4
51,Field Service App integration with Twilio failing,[TCK-91065] User v.nair reports that the Field Service App integration with Twilio has stopped syncing and shows repeated authentication failures. Kindly look into this at the earliest.,Application,"The Twilio API credentials used by Field Service App had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",Medium,5
52,Role change access review for p.menon,[TCK-52879] Issue summary: user p.menon has moved teams and still holds permissions from their previous CRM role that need to be reconciled. It started earlier today and has not self-resolved.,Access Management,"Reviewed the entitlements for p.menon, removed the obsolete CRM permissions from the prior role, and assigned the correct role for their new team.",Low,7
53,Kubernetes node PRD-DB-11 in NotReady state,[TCK-51879] User p.menon reports that node PRD-DB-11 shows NotReady in the cluster and pods scheduled on it are stuck in Pending. Kindly look into this at the earliest.,Infrastructure,Restarted the kubelet on PRD-DB-11 and cleared a stale disk-pressure taint; the node rejoined the cluster and pods rescheduled.,Medium,3
54,Reports in Field Service App won't generate,[TCK-20189] We are observing that users trying to run reports in Field Service App get stuck loading forever and eventually see a timeout error about the underlying data source. Requesting priority attention from the relevant team.,Database,Found the report queries in Field Service App were timing out against billing_mysql due to a missing index; added the index and reports now generate within seconds.,Medium,8
55,High CPU on server VM-BATCH-10,"[TCK-21062] User d.mehta reports that sustained CPU utilization above 95% on VM-BATCH-10 for the last 40 minutes, causing request timeouts. Kindly look into this at the earliest.",Infrastructure,"Identified a runaway process on VM-BATCH-10, capped its cgroup CPU quota, and scaled the service horizontally to shed load.",High,0
56,Inventory Manager throwing errors after latest deploy,"[TCK-87566] Issue summary: immediately after the most recent Inventory Manager release, users are seeing unexpected errors on pages that worked yesterday. It started earlier today and has not self-resolved.",Application,"A missed database migration accompanied the Inventory Manager deploy; ran the pending migration and redeployed, and the post-release errors cleared.",High,8
57,Inventory Manager says it can't find the data,"[TCK-47185] Support desk logged the following: Inventory Manager shows an error mentioning a broken connection to where the data is kept, and no records load at all. Awaiting assignment to the right team.",Database,Diagnosed a dropped connection between Inventory Manager and billing_mysql caused by a credentials rotation; updated the stored connection string and confirmed Inventory Manager could load data again.,Medium,7
58,Suspicious login attempts on account r.sharma,[TCK-33943] Monitoring alerted us that multiple failed login attempts followed by a success on account r.sharma from an unfamiliar country. Escalating for investigation.,Security,"Locked account r.sharma, forced a credential reset and MFA re-enrolment, and confirmed no data exfiltration occurred in the session logs.",High,0
59,Wi-Fi outage at Ahmedabad Office,[TCK-19470] Issue summary: the wireless network at Ahmedabad Office is down and no devices can associate to any access point. It started earlier today and has not self-resolved.,Network,The wireless controller at Ahmedabad Office had lost its config after a power event; restored the configuration and access points came back online.,High,5
60,SSO access failing for n.gupta to Salesforce,[TCK-83418] Flagged during routine checks: user n.gupta cannot reach the Salesforce application through single sign-on and is bounced back to the login screen. Please confirm root cause and next steps.,Access Management,Found n.gupta was missing from the Salesforce SSO assignment group; added them to the group and confirmed federated login to Salesforce succeeded.,Medium,8
61,Packet loss on the link to Hyderabad Office,"[TCK-57621] Ticket raised because the WAN link to Hyderabad Office is showing steady packet loss, causing choppy calls and dropped sessions. This is impacting daily work.",Network,Isolated the packet loss to a faulty circuit segment on the Hyderabad Office link; the carrier replaced the segment and loss dropped back to zero.,Medium,6
62,Inventory Manager returning HTTP 500 errors,[TCK-81387] Ticket raised because users of the Inventory Manager application are intermittently getting HTTP 500 errors when submitting forms. This is impacting daily work.,Application,Traced the Inventory Manager 500s to an unhandled null in the request handler; deployed a hotfix and added input validation with a regression test.,High,0
63,Snapshot/backup restore request for \\fs02\marketing,[TCK-32707] Ticket raised because a user accidentally deleted a folder on \\fs02\marketing and needs yesterday's version restored. This is impacting daily work.,Storage,Restored the requested folder on \\fs02\marketing from the previous night's snapshot and confirmed file integrity with the requesting user.,Medium,3
64,High latency to PRD-AUTH-05,"[TCK-27793] Reported by the Hyderabad Office team: network latency to PRD-AUTH-05 has spiked to hundreds of milliseconds, degrading application response. Please investigate and resolve.",Network,Traced the latency to a saturated link on the path to PRD-AUTH-05; rerouted traffic over a secondary path and opened a capacity request.,Medium,2
65,RAID array degraded on VM-BATCH-10,"[TCK-91520] Issue summary: the storage array on VM-BATCH-10 is reporting a degraded state after a single drive failed, running without redundancy. It started earlier today and has not self-resolved.",Storage,"Replaced the failed drive in the VM-BATCH-10 array, let the array rebuild, and confirmed full redundancy was restored with no data loss.",High,7
66,Malware detected on endpoint of k.verma,[TCK-54839] We are observing that the EDR agent flagged and quarantined a trojan on the workstation belonging to k.verma. Requesting priority attention from the relevant team.,Security,"Isolated the endpoint of k.verma from the network, ran a full offline scan to remove the trojan, and re-imaged the machine as a precaution.",High,2
67,MFA reset request for r.sharma,[TCK-32142] Reported by the Bangalore DC team: user r.sharma lost their phone and cannot complete multi-factor authentication to sign in. Please investigate and resolve.,Access Management,"Verified r.sharma out of band, reset their MFA enrolment, and guided them through registering a new authenticator device.",High,5
68,Learning Management System returning HTTP 500 errors,[TCK-79615] Support desk logged the following: users of the Learning Management System application are intermittently getting HTTP 500 errors when submitting forms. Awaiting assignment to the right team.,Application,Traced the Learning Management System 500s to an unhandled null in the request handler; deployed a hotfix and added input validation with a regression test.,Medium,0
69,Replication lag on warehouse_pg,"[TCK-61693] Issue summary: the read replica for warehouse_pg is lagging the primary by several minutes, serving stale reads to the application. It started earlier today and has not self-resolved.",Database,"Found a long-running analytics query blocking replication on warehouse_pg; killed it, tuned the replica I/O, and lag returned to under a second.",High,0
70,Automatic scaling not triggering for PRD-CACHE-02,[TCK-26828] We are observing that the autoscaling group for PRD-CACHE-02 is not adding capacity even though CPU has been pinned high for over an hour. Requesting priority attention from the relevant team.,Infrastructure,"Found the autoscaling policy for PRD-CACHE-02 referenced a stale metric; corrected the scaling metric and cooldown, and new instances now launch on demand.",High,8
71,Malware detected on endpoint of r.sharma,[TCK-79881] Reported by the Hyderabad Office team: the EDR agent flagged and quarantined a trojan on the workstation belonging to r.sharma. Please investigate and resolve.,Security,"Isolated the endpoint of r.sharma from the network, ran a full offline scan to remove the trojan, and re-imaged the machine as a precaution.",Medium,2
72,Service on port 27017 unreachable from Hyderabad Office,[TCK-67719] Monitoring alerted us that users at Hyderabad Office cannot connect to an internal service on port 27017 although it works from other sites. Escalating for investigation.,Network,A routing change had removed the path from Hyderabad Office to the service subnet on port 27017; restored the missing route and confirmed connectivity from Hyderabad Office.,Medium,8
73,Packet loss on the link to Noida Tech Park,"[TCK-45778] Issue summary: the WAN link to Noida Tech Park is showing steady packet loss, causing choppy calls and dropped sessions. It started earlier today and has not self-resolved.",Network,Isolated the packet loss to a faulty circuit segment on the Noida Tech Park link; the carrier replaced the segment and loss dropped back to zero.,Low,6
74,Automatic scaling not triggering for PRD-AUTH-05,[TCK-86622] Monitoring alerted us that the autoscaling group for PRD-AUTH-05 is not adding capacity even though CPU has been pinned high for over an hour. Escalating for investigation.,Infrastructure,"Found the autoscaling policy for PRD-AUTH-05 referenced a stale metric; corrected the scaling metric and cooldown, and new instances now launch on demand.",Medium,8
75,Payroll scheduled report emails not sending,[TCK-21814] User d.mehta reports that the scheduled report emails from Payroll have silently stopped going out and users are not receiving their daily summaries. Kindly look into this at the earliest.,Application,"The outbound mail worker for Payroll had a stuck queue after an SMTP change; updated the mailer settings, drained the queue, and confirmed reports resumed.",High,6
76,DNS resolution failing for Expense Tracker,"[TCK-11460] Flagged during routine checks: clients cannot resolve the hostname for Expense Tracker, receiving NXDOMAIN responses. Please confirm root cause and next steps.",Network,"A stale DNS record for Expense Tracker was corrected on the authoritative server and the resolver caches were flushed, restoring resolution.",Medium,3
77,New joiner access request for j.singh,"[TCK-47104] We are observing that new employee j.singh needs standard access provisioned to email, Analytics Dashboard, and the Remote/WFH file shares. Requesting priority attention from the relevant team.",Access Management,"Provisioned j.singh with the standard role granting email, Analytics Dashboard, and Remote/WFH share access, and confirmed successful first login.",Medium,0
78,Brute-force attack against Ticketing System login,[TCK-65592] Flagged during routine checks: monitoring shows a high-volume password-guessing attack hammering the Ticketing System login endpoint from many IP addresses. Please confirm root cause and next steps.,Security,"Enabled rate limiting and account lockout on the Ticketing System login endpoint, added the attacking ranges to a block list, and turned on CAPTCHA after repeated failures.",Medium,6
79,Automatic scaling not triggering for PRD-WEB-02,[TCK-92173] Reported by the Chennai Support team: the autoscaling group for PRD-WEB-02 is not adding capacity even though CPU has been pinned high for over an hour. Please investigate and resolve.,Infrastructure,"Found the autoscaling policy for PRD-WEB-02 referenced a stale metric; corrected the scaling metric and cooldown, and new instances now launch on demand.",Medium,8
80,Brute-force attack against Expense Tracker login,[TCK-99772] We are observing that monitoring shows a high-volume password-guessing attack hammering the Expense Tracker login endpoint from many IP addresses. Requesting priority attention from the relevant team.,Security,"Enabled rate limiting and account lockout on the Expense Tracker login endpoint, added the attacking ranges to a block list, and turned on CAPTCHA after repeated failures.",High,6
81,Firewall blocking port 443,[TCK-18962] Monitoring alerted us that a required service is unreachable because traffic on port 443 appears to be blocked by the firewall. Escalating for investigation.,Network,Added an explicit firewall allow rule for port 443 scoped to the required source ranges and verified the service became reachable.,High,4
82,Automatic scaling not triggering for PRD-QUEUE-06,[TCK-52904] Monitoring alerted us that the autoscaling group for PRD-QUEUE-06 is not adding capacity even though CPU has been pinned high for over an hour. Escalating for investigation.,Infrastructure,"Found the autoscaling policy for PRD-QUEUE-06 referenced a stale metric; corrected the scaling metric and cooldown, and new instances now launch on demand.",High,8
83,Brute-force attack against Procurement Portal login,[TCK-84261] User t.rao reports that monitoring shows a high-volume password-guessing attack hammering the Procurement Portal login endpoint from many IP addresses. Kindly look into this at the earliest.,Security,"Enabled rate limiting and account lockout on the Procurement Portal login endpoint, added the attacking ranges to a block list, and turned on CAPTCHA after repeated failures.",High,6
84,Billing Portal integration with Azure failing,[TCK-61262] Support desk logged the following: the Billing Portal integration with Azure has stopped syncing and shows repeated authentication failures. Awaiting assignment to the right team.,Application,"The Azure API credentials used by Billing Portal had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",Low,5
85,DNS resolution failing for CRM,"[TCK-14691] Issue summary: clients cannot resolve the hostname for CRM, receiving NXDOMAIN responses. It started earlier today and has not self-resolved.",Network,"A stale DNS record for CRM was corrected on the authoritative server and the resolver caches were flushed, restoring resolution.",Medium,3
86,Billing Portal integration with Okta failing,[TCK-98487] Issue summary: the Billing Portal integration with Okta has stopped syncing and shows repeated authentication failures. It started earlier today and has not self-resolved.,Application,"The Okta API credentials used by Billing Portal had expired; rotated the token, stored it in the secrets manager, and re-enabled the sync job.",Medium,5
87,Shared mailbox access request for p.reddy,[TCK-55036] Ticket raised because user p.reddy needs delegated access to the Chennai Support shared mailbox to cover for a colleague on leave. This is impacting daily work.,Access Management,"Granted p.reddy delegate permissions on the Chennai Support shared mailbox, confirmed it appeared in their client, and set the access to expire when the colleague returns.",High,6
88,Slow queries on inventory_pg,"[TCK-11448] User t.rao reports that several queries against inventory_pg have degraded to multi-second execution times, slowing the whole app. Kindly look into this at the earliest.",Database,"Analyzed the inventory_pg slow-query log, added two missing indexes and rewrote a correlated subquery; query times dropped by over 90%.",Low,2
89,Snapshot/backup restore request for \\nas03\projects,[TCK-56369] Ticket raised because a user accidentally deleted a folder on \\nas03\projects and needs yesterday's version restored. This is impacting daily work.,Storage,Restored the requested folder on \\nas03\projects from the previous night's snapshot and confirmed file integrity with the requesting user.,High,3
90,Storage quota exceeded for Remote/WFH,[TCK-33033] Monitoring alerted us that the Remote/WFH team has hit its storage quota and can no longer save new files to their share. Escalating for investigation.,Storage,"Reviewed usage for Remote/WFH, archived stale data to cold storage, and raised their quota after manager approval.",Medium,5
91,Open management port 9092 exposed on PRD-WEB-02,[TCK-50388] User k.verma reports that an external scan found management port 9092 on PRD-WEB-02 reachable from the public internet. Kindly look into this at the earliest.,Security,"Restricted port 9092 on PRD-WEB-02 to the internal management network via firewall and security-group rules, then verified it was no longer externally reachable.",Low,8
92,Storage quota exceeded for Noida Tech Park,[TCK-96755] User v.nair reports that the Noida Tech Park team has hit its storage quota and can no longer save new files to their share. Kindly look into this at the earliest.,Storage,"Reviewed usage for Noida Tech Park, archived stale data to cold storage, and raised their quota after manager approval.",High,5
93,DNS resolution failing for Field Service App,"[TCK-87841] Flagged during routine checks: clients cannot resolve the hostname for Field Service App, receiving NXDOMAIN responses. Please confirm root cause and next steps.",Network,"A stale DNS record for Field Service App was corrected on the authoritative server and the resolver caches were flushed, restoring resolution.",High,3
94,Login broken on Vendor Portal,[TCK-23263] Monitoring alerted us that no user can log in to Vendor Portal; the login page accepts credentials then redirects back to itself. Escalating for investigation.,Application,The Vendor Portal session cookie domain was misconfigured after a deploy; corrected the cookie settings and cleared the CDN cache to fix login.,Medium,2
95,reporting_mongo running out of connections,[TCK-54038] Reported by the Chennai Support team: reporting_mongo is rejecting new connections with a 'too many connections' error during peak traffic. Please investigate and resolve.,Database,Introduced a connection pooler in front of reporting_mongo and lowered per-service pool sizes; connection exhaustion no longer occurs at peak.,Medium,1
96,Analytics Dashboard throwing errors after latest deploy,"[TCK-30577] Issue summary: immediately after the most recent Analytics Dashboard release, users are seeing unexpected errors on pages that worked yesterday. It started earlier today and has not self-resolved.",Application,"A missed database migration accompanied the Analytics Dashboard deploy; ran the pending migration and redeployed, and the post-release errors cleared.",High,8
97,Malware detected on endpoint of r.desai,[TCK-58545] User r.desai reports that the EDR agent flagged and quarantined a trojan on the workstation belonging to r.desai. Kindly look into this at the earliest.,Security,"Isolated the endpoint of r.desai from the network, ran a full offline scan to remove the trojan, and re-imaged the machine as a precaution.",High,2
98,Elevated access request for d.mehta,[TCK-82291] User d.mehta reports that user d.mehta has requested temporary admin access to Inventory Manager to complete a project task. Kindly look into this at the earliest.,Access Management,Granted d.mehta time-boxed elevated access to Inventory Manager via the privileged-access workflow with automatic expiry after 7 days.,Medium,2
